Класс,Всего,Верно,Ошибок,Accuracy,Путают с
1,50,50,0,100.0%,-
2,20,20,0,100.0%,-
3,36,36,0,100.0%,-
4,97,97,0,100.0%,-
5,57,56,1,98.2%,14(1)
7,102,102,0,100.0%,-
8,53,53,0,100.0%,-
9,50,50,0,100.0%,-
10,52,52,0,100.0%,-
11,17,17,0,100.0%,-
12,12,12,0,100.0%,-
13,10,10,0,100.0%,-
14,34,34,0,100.0%,-
15,26,26,0,100.0%,-
16,15,15,0,100.0%,-
17,107,107,0,100.0%,-
18,74,74,0,100.0%,-
19,58,58,0,100.0%,-
22,13,13,0,100.0%,-
23,70,70,0,100.0%,-
24,50,50,0,100.0%,-
25,78,78,0,100.0%,-
26,48,48,0,100.0%,-
27,8,8,0,100.0%,-
